name1,name2,constit_id,party_id,first_pref_percent
Halligan,John,37,7,16.06
Deasy,John,37,0,14.78
Howlin,Brendan,38,3,14.76
Browne,James,38,1,13.71
Wallace,Mick,38,8,11.05
D'Arcy,Michael,38,0,10.88
Kehoe,Paul,38,0,10.74
Donnelly, Stephen,39,5,20.85
Brady,John,39,2,16.21
Harris,Simon,39,0,15.72
Casey,Pat,39,1,9.14
Doyle,Andrew,39,0,8.79
